/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-FourDoor-v0 --algo dqn --model dqn-partial_obs-2 --frames 1000000 --procs 1 --batch-size 300 --max-memory 1500 --seed 2 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=1500, mem=False, model='dqn-partial_obs-2', optim_alpha=0.99, optim_eps=1e-08, procs=1, recurrence=1, save_interval=100, seed=2, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 3849 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 3872 | E 3872 | F 427060 | FPS 2674 | D 135 | rR:μσmM 18.98 136.04 0.00 1000.00 | pL 6.685
U 3873 | E 3873 | F 427127 | FPS 2862 | D 135 | rR:μσmM 15.04 121.24 0.00 1000.00 | pL 16.652
U 3874 | E 3874 | F 427233 | FPS 3178 | D 135 | rR:μσmM 9.49 96.66 0.00 1000.00 | pL 16.661
U 3875 | E 3875 | F 427365 | FPS 3383 | D 135 | rR:μσmM 7.61 86.71 0.00 1000.00 | pL 6.691
U 3876 | E 3876 | F 427474 | FPS 3228 | D 135 | rR:μσmM 9.25 95.34 0.00 1000.00 | pL 16.671
U 3877 | E 3877 | F 427704 | FPS 3514 | D 135 | rR:μσmM 4.39 65.79 0.00 1000.00 | pL 20.000
U 3878 | E 3878 | F 427772 | FPS 2899 | D 135 | rR:μσmM 14.79 120.36 0.00 1000.00 | pL 3.377
U 3879 | E 3879 | F 427907 | FPS 3350 | D 135 | rR:μσmM 7.45 85.74 0.00 1000.00 | pL 10.035
U 3880 | E 3880 | F 427995 | FPS 2975 | D 136 | rR:μσmM 11.41 105.99 0.00 1000.00 | pL 10.138
U 3881 | E 3881 | F 428065 | FPS 2972 | D 136 | rR:μσmM 14.34 118.66 0.00 1000.00 | pL 10.116
U 3882 | E 3882 | F 428129 | FPS 2675 | D 136 | rR:μσmM 15.75 124.00 0.00 1000.00 | pL 10.110
U 3883 | E 3883 | F 428183 | FPS 2702 | D 136 | rR:μσmM 18.59 134.81 0.00 1000.00 | pL 13.420
U 3884 | E 3884 | F 428263 | FPS 2917 | D 136 | rR:μσmM 12.57 111.09 0.00 1000.00 | pL 16.756
U 3885 | E 3885 | F 428386 | FPS 3239 | D 136 | rR:μσmM 8.20 89.79 0.00 1000.00 | pL 6.744
U 3886 | E 3886 | F 428609 | FPS 3741 | D 136 | rR:μσmM 4.54 66.81 0.00 1000.00 | pL 6.728
U 3887 | E 3887 | F 428680 | FPS 2879 | D 136 | rR:μσmM 14.14 117.83 0.00 1000.00 | pL 10.029
U 3888 | E 3888 | F 428857 | FPS 3509 | D 136 | rR:μσmM 5.69 74.95 0.00 1000.00 | pL 6.721
U 3889 | E 3889 | F 428931 | FPS 3153 | D 136 | rR:μσmM 13.59 115.45 0.00 1000.00 | pL 23.316
U 3890 | E 3890 | F 429000 | FPS 2968 | D 136 | rR:μσmM 14.58 119.50 0.00 1000.00 | pL 10.055
U 3891 | E 3891 | F 429218 | FPS 3625 | D 136 | rR:μσmM 4.63 67.57 0.00 1000.00 | pL 6.713
U 3892 | E 3892 | F 429286 | FPS 2881 | D 136 | rR:μσmM 14.85 120.36 0.00 1000.00 | pL 0.069
U 3893 | E 3893 | F 429364 | FPS 2960 | D 136 | rR:μσmM 12.87 112.49 0.00 1000.00 | pL 10.031
U 3894 | E 3894 | F 429430 | FPS 2729 | D 136 | rR:μσmM 15.24 122.14 0.00 1000.00 | pL 13.366
U 3895 | E 3895 | F 429551 | FPS 3389 | D 136 | rR:μσmM 8.35 90.53 0.00 1000.00 | pL 10.023
U 3896 | E 3896 | F 429610 | FPS 2748 | D 136 | rR:μσmM 17.02 129.07 0.00 1000.00 | pL 6.703
U 3897 | E 3897 | F 429634 | FPS 1952 | D 136 | rR:μσmM 41.92 199.78 0.00 1000.00 | pL 10.028
U 3898 | E 3898 | F 429676 | FPS 2294 | D 136 | rR:μσmM 23.95 152.43 0.00 1000.00 | pL 13.338
U 3899 | E 3899 | F 429759 | FPS 3119 | D 136 | rR:μσmM 12.14 109.09 0.00 1000.00 | pL 23.310
U 3900 | E 3900 | F 429824 | FPS 2597 | D 136 | rR:μσmM 15.51 123.06 0.00 1000.00 | pL 6.813
Status saved
U 3901 | E 3901 | F 429930 | FPS 3243 | D 136 | rR:μσmM 9.49 96.66 0.00 1000.00 | pL 10.085
U 3902 | E 3902 | F 430030 | FPS 3187 | D 136 | rR:μσmM 10.06 99.49 0.00 1000.00 | pL 16.696
U 3903 | E 3903 | F 430098 | FPS 2778 | D 136 | rR:μσmM 14.79 120.36 0.00 1000.00 | pL 6.735
U 3904 | E 3904 | F 430144 | FPS 2577 | D 136 | rR:μσmM 21.87 145.81 0.00 1000.00 | pL 10.052
U 3905 | E 3905 | F 430223 | FPS 2931 | D 136 | rR:μσmM 12.73 111.79 0.00 1000.00 | pL 6.721
U 3906 | E 3906 | F 430267 | FPS 2250 | D 136 | rR:μσmM 22.86 149.01 0.00 1000.00 | pL 10.047
U 3907 | E 3907 | F 430342 | FPS 3012 | D 136 | rR:μσmM 13.39 114.69 0.00 1000.00 | pL 23.335
U 3908 | E 3908 | F 430499 | FPS 3612 | D 136 | rR:μσmM 6.42 79.55 0.00 1000.00 | pL 16.658
U 3909 | E 3909 | F 430545 | FPS 2563 | D 136 | rR:μσmM 21.87 145.81 0.00 1000.00 | pL 16.679
U 3910 | E 3910 | F 430618 | FPS 2761 | D 136 | rR:μσmM 13.75 116.23 0.00 1000.00 | pL 13.357
U 3911 | E 3911 | F 430660 | FPS 2432 | D 136 | rR:μσmM 24.00 152.43 0.00 1000.00 | pL 13.341
U 3912 | E 3912 | F 430732 | FPS 2772 | D 136 | rR:μσmM 13.97 117.02 0.00 1000.00 | pL 13.356
U 3913 | E 3913 | F 430887 | FPS 3618 | D 136 | rR:μσmM 6.50 80.06 0.00 1000.00 | pL 13.368
U 3914 | E 3914 | F 430941 | FPS 2488 | D 136 | rR:μσmM 18.63 134.80 0.00 1000.00 | pL 10.039
U 3915 | E 3915 | F 431011 | FPS 2780 | D 137 | rR:μσmM 14.34 118.66 0.00 1000.00 | pL 10.042
U 3916 | E 3916 | F 431098 | FPS 2978 | D 137 | rR:μσmM 11.59 106.58 0.00 1000.00 | pL 13.377
U 3917 | E 3917 | F 431121 | FPS 1820 | D 137 | rR:μσmM 43.74 203.88 0.00 1000.00 | pL 6.749
U 3918 | E 3918 | F 431211 | FPS 3170 | D 137 | rR:μσmM 11.18 104.82 0.00 1000.00 | pL 20.048
U 3919 | E 3919 | F 431360 | FPS 3437 | D 137 | rR:μσmM 6.75 81.64 0.00 1000.00 | pL 13.390
U 3920 | E 3920 | F 431479 | FPS 3383 | D 137 | rR:μσmM 8.47 91.28 0.00 1000.00 | pL 13.442
U 3921 | E 3921 | F 431696 | FPS 3529 | D 137 | rR:μσmM 4.66 67.72 0.00 1000.00 | pL 6.809
U 3922 | E 3922 | F 431825 | FPS 3386 | D 137 | rR:μσmM 7.81 87.70 0.00 1000.00 | pL 10.113
U 3923 | E 3923 | F 431908 | FPS 3098 | D 137 | rR:μσmM 12.10 109.10 0.00 1000.00 | pL 10.123
U 3924 | E 3924 | F 431958 | FPS 2455 | D 137 | rR:μσmM 20.12 139.98 0.00 1000.00 | pL 13.409
U 3925 | E 3925 | F 432020 | FPS 2832 | D 137 | rR:μσmM 16.23 125.96 0.00 1000.00 | pL 13.377
U 3926 | E 3926 | F 432063 | FPS 2457 | D 137 | rR:μσmM 23.40 150.69 0.00 1000.00 | pL 3.399
U 3927 | E 3927 | F 432140 | FPS 2959 | D 137 | rR:μσmM 13.06 113.21 0.00 1000.00 | pL 6.705
U 3928 | E 3928 | F 432268 | FPS 3162 | D 137 | rR:μσmM 7.89 88.04 0.00 1000.00 | pL 16.678
U 3929 | E 3929 | F 432391 | FPS 2953 | D 137 | rR:μσmM 8.18 89.80 0.00 1000.00 | pL 13.346
U 3930 | E 3930 | F 432635 | FPS 3557 | D 137 | rR:μσmM 4.12 63.89 0.00 1000.00 | pL 10.025
U 3931 | E 3931 | F 432689 | FPS 2717 | D 137 | rR:μσmM 18.59 134.81 0.00 1000.00 | pL 13.354
U 3932 | E 3932 | F 432791 | FPS 3201 | D 137 | rR:μσmM 9.86 98.52 0.00 1000.00 | pL 6.701
U 3933 | E 3933 | F 432847 | FPS 2523 | D 137 | rR:μσmM 17.96 132.42 0.00 1000.00 | pL 23.316
U 3934 | E 3934 | F 432907 | FPS 2541 | D 137 | rR:μσmM 16.77 128.01 0.00 1000.00 | pL 6.703
U 3935 | E 3935 | F 432937 | FPS 1925 | D 137 | rR:μσmM 33.53 179.47 0.00 1000.00 | pL 6.700
U 3936 | E 3936 | F 433076 | FPS 3395 | D 137 | rR:μσmM 7.27 84.51 0.00 1000.00 | pL 20.007
U 3937 | E 3937 | F 433213 | FPS 3510 | D 137 | rR:μσmM 7.34 85.12 0.00 1000.00 | pL 6.707
U 3938 | E 3938 | F 433304 | FPS 3104 | D 137 | rR:μσmM 11.05 104.24 0.00 1000.00 | pL 3.375
U 3939 | E 3939 | F 433387 | FPS 2925 | D 137 | rR:μσmM 12.12 109.09 0.00 1000.00 | pL 10.031
U 3940 | E 3940 | F 433455 | FPS 2730 | D 137 | rR:μσmM 14.76 120.37 0.00 1000.00 | pL 16.768
U 3941 | E 3941 | F 433488 | FPS 2174 | D 137 | rR:μσmM 30.48 171.39 0.00 1000.00 | pL 3.434
U 3942 | E 3942 | F 433572 | FPS 3150 | D 137 | rR:μσmM 11.98 108.45 0.00 1000.00 | pL 26.668
U 3943 | E 3943 | F 433663 | FPS 3076 | D 137 | rR:μσmM 11.08 104.24 0.00 1000.00 | pL 16.675
U 3944 | E 3944 | F 433710 | FPS 2205 | D 137 | rR:μσmM 21.40 144.29 0.00 1000.00 | pL 10.036
U 3945 | E 3945 | F 433807 | FPS 3053 | D 137 | rR:μσmM 10.37 101.00 0.00 1000.00 | pL 6.728
U 3946 | E 3946 | F 433932 | FPS 3288 | D 137 | rR:μσmM 8.08 89.08 0.00 1000.00 | pL 16.716
U 3947 | E 3947 | F 434002 | FPS 2896 | D 138 | rR:μσmM 14.37 118.66 0.00 1000.00 | pL 13.381
U 3948 | E 3948 | F 434092 | FPS 3280 | D 138 | rR:μσmM 11.18 104.82 0.00 1000.00 | pL 16.677
U 3949 | E 3949 | F 434167 | FPS 2984 | D 138 | rR:μσmM 13.41 114.69 0.00 1000.00 | pL 13.347
U 3950 | E 3950 | F 434269 | FPS 3270 | D 138 | rR:μσmM 9.86 98.52 0.00 1000.00 | pL 19.995
U 3951 | E 3951 | F 434421 | FPS 3608 | D 138 | rR:μσmM 6.62 80.84 0.00 1000.00 | pL 10.006
U 3952 | E 3952 | F 434474 | FPS 2588 | D 138 | rR:μσmM 19.06 136.03 0.00 1000.00 | pL 10.018
U 3953 | E 3953 | F 434542 | FPS 2871 | D 138 | rR:μσmM 14.76 120.37 0.00 1000.00 | pL 6.699
U 3954 | E 3954 | F 434574 | FPS 2181 | D 138 | rR:μσmM 31.44 173.96 0.00 1000.00 | pL 16.660
U 3955 | E 3955 | F 434672 | FPS 3146 | D 138 | rR:μσmM 10.24 100.49 0.00 1000.00 | pL 6.698
U 3956 | E 3956 | F 434809 | FPS 3459 | D 138 | rR:μσmM 7.33 85.12 0.00 1000.00 | pL 10.010
U 3957 | E 3957 | F 434868 | FPS 2706 | D 138 | rR:μσmM 17.05 129.07 0.00 1000.00 | pL 13.311
U 3958 | E 3958 | F 434965 | FPS 3164 | D 138 | rR:μσmM 10.37 101.00 0.00 1000.00 | pL 9.999
U 3959 | E 3959 | F 435006 | FPS 2254 | D 138 | rR:μσmM 24.54 154.24 0.00 1000.00 | pL 6.697
U 3960 | E 3960 | F 435143 | FPS 3213 | D 138 | rR:μσmM 7.37 85.12 0.00 1000.00 | pL 13.429
U 3961 | E 3961 | F 435212 | FPS 2949 | D 138 | rR:μσmM 14.58 119.50 0.00 1000.00 | pL 6.779
U 3962 | E 3962 | F 435300 | FPS 3107 | D 138 | rR:μσmM 11.43 105.99 0.00 1000.00 | pL 10.090
U 3963 | E 3963 | F 435439 | FPS 3411 | D 138 | rR:μσmM 7.24 84.51 0.00 1000.00 | pL 10.072
U 3964 | E 3964 | F 435506 | FPS 2667 | D 138 | rR:μσmM 15.04 121.24 0.00 1000.00 | pL 10.061
U 3965 | E 3965 | F 435605 | FPS 3298 | D 138 | rR:μσmM 10.16 99.99 0.00 1000.00 | pL 16.698
U 3966 | E 3966 | F 435695 | FPS 3104 | D 138 | rR:μσmM 11.18 104.82 0.00 1000.00 | pL 13.375
U 3967 | E 3967 | F 435739 | FPS 2409 | D 138 | rR:μσmM 22.82 149.02 0.00 1000.00 | pL 13.381
U 3968 | E 3968 | F 435969 | FPS 3663 | D 138 | rR:μσmM 4.40 65.79 0.00 1000.00 | pL 6.719
U 3969 | E 3969 | F 436055 | FPS 3085 | D 138 | rR:μσmM 11.67 107.20 0.00 1000.00 | pL 13.371
U 3970 | E 3970 | F 436123 | FPS 2921 | D 138 | rR:μσmM 14.76 120.37 0.00 1000.00 | pL 10.061
U 3971 | E 3971 | F 436185 | FPS 2771 | D 138 | rR:μσmM 16.29 125.95 0.00 1000.00 | pL 10.035
U 3972 | E 3972 | F 436277 | FPS 3233 | D 138 | rR:μσmM 10.93 103.68 0.00 1000.00 | pL 3.387
U 3973 | E 3973 | F 436348 | FPS 2868 | D 138 | rR:μσmM 14.17 117.83 0.00 1000.00 | pL 10.063
U 3974 | E 3974 | F 436422 | FPS 3162 | D 138 | rR:μσmM 13.57 115.45 0.00 1000.00 | pL 23.314
U 3975 | E 3975 | F 436447 | FPS 1851 | D 138 | rR:μσmM 40.24 195.91 0.00 1000.00 | pL 6.709
U 3976 | E 3976 | F 436566 | FPS 3520 | D 138 | rR:μσmM 8.45 91.28 0.00 1000.00 | pL 10.017
U 3977 | E 3977 | F 436663 | FPS 3115 | D 138 | rR:μσmM 10.37 101.00 0.00 1000.00 | pL 16.669
U 3978 | E 3978 | F 436732 | FPS 2970 | D 138 | rR:μσmM 14.58 119.50 0.00 1000.00 | pL 10.029
U 3979 | E 3979 | F 436770 | FPS 2369 | D 138 | rR:μσmM 26.47 160.05 0.00 1000.00 | pL 20.003
U 3980 | E 3980 | F 436843 | FPS 2825 | D 138 | rR:μσmM 13.78 116.23 0.00 1000.00 | pL 6.785
U 3981 | E 3981 | F 436917 | FPS 2957 | D 138 | rR:μσmM 13.62 115.45 0.00 1000.00 | pL 16.799
U 3982 | E 3982 | F 437010 | FPS 3152 | D 139 | rR:μσmM 10.80 103.13 0.00 1000.00 | pL 10.123
U 3983 | E 3983 | F 437138 | FPS 3345 | D 139 | rR:μσmM 7.89 88.04 0.00 1000.00 | pL 16.758
U 3984 | E 3984 | F 437362 | FPS 3841 | D 139 | rR:μσmM 4.51 66.66 0.00 1000.00 | pL 3.471
U 3985 | E 3985 | F 437426 | FPS 2607 | D 139 | rR:μσmM 15.72 124.01 0.00 1000.00 | pL 23.379
U 3986 | E 3986 | F 437477 | FPS 2639 | D 139 | rR:μσmM 19.73 138.63 0.00 1000.00 | pL 23.344
U 3987 | E 3987 | F 437601 | FPS 3388 | D 139 | rR:μσmM 8.11 89.44 0.00 1000.00 | pL 3.387
U 3988 | E 3988 | F 437736 | FPS 3337 | D 139 | rR:μσmM 7.47 85.74 0.00 1000.00 | pL 19.997
U 3989 | E 3989 | F 437799 | FPS 2844 | D 139 | rR:μσmM 16.00 124.97 0.00 1000.00 | pL 10.029
U 3990 | E 3990 | F 437882 | FPS 3131 | D 139 | rR:μσmM 12.14 109.09 0.00 1000.00 | pL 10.034
U 3991 | E 3991 | F 437962 | FPS 2945 | D 139 | rR:μσmM 12.57 111.09 0.00 1000.00 | pL 6.698
U 3992 | E 3992 | F 438031 | FPS 2440 | D 139 | rR:μσmM 14.58 119.50 0.00 1000.00 | pL 13.363
U 3993 | E 3993 | F 438102 | FPS 3035 | D 139 | rR:μσmM 14.14 117.83 0.00 1000.00 | pL 13.358
U 3994 | E 3994 | F 438201 | FPS 3315 | D 139 | rR:μσmM 10.16 99.99 0.00 1000.00 | pL 16.672
U 3995 | E 3995 | F 438246 | FPS 2662 | D 139 | rR:μσmM 22.31 147.39 0.00 1000.00 | pL 13.337
U 3996 | E 3996 | F 438319 | FPS 2925 | D 139 | rR:μσmM 13.81 116.22 0.00 1000.00 | pL 13.361
U 3997 | E 3997 | F 438449 | FPS 3451 | D 139 | rR:μσmM 7.74 87.36 0.00 1000.00 | pL 10.036
U 3998 | E 3998 | F 438503 | FPS 2517 | D 139 | rR:μσmM 18.63 134.80 0.00 1000.00 | pL 13.377
U 3999 | E 3999 | F 438639 | FPS 3549 | D 139 | rR:μσmM 7.41 85.43 0.00 1000.00 | pL 6.698
U 4000 | E 4000 | F 438679 | FPS 2475 | D 139 | rR:μσmM 25.10 156.11 0.00 1000.00 | pL 3.502
Status saved
U 4001 | E 4001 | F 438791 | FPS 3322 | D 139 | rR:μσmM 8.98 94.06 0.00 1000.00 | pL 16.741
U 4002 | E 4002 | F 438851 | FPS 2683 | D 139 | rR:μσmM 16.73 128.01 0.00 1000.00 | pL 6.716
U 4003 | E 4003 | F 438928 | FPS 2816 | D 139 | rR:μσmM 13.06 113.21 0.00 1000.00 | pL 16.687
U 4004 | E 4004 | F 439032 | FPS 3140 | D 139 | rR:μσmM 9.65 97.58 0.00 1000.00 | pL 6.717
U 4005 | E 4005 | F 439094 | FPS 2749 | D 139 | rR:μσmM 16.19 125.96 0.00 1000.00 | pL 20.002
U 4006 | E 4006 | F 439150 | FPS 2623 | D 139 | rR:μσmM 17.93 132.42 0.00 1000.00 | pL 6.682
U 4007 | E 4007 | F 439262 | FPS 2742 | D 139 | rR:μσmM 9.00 94.06 0.00 1000.00 | pL 3.367
U 4008 | E 4008 | F 439383 | FPS 2913 | D 139 | rR:μσmM 8.30 90.53 0.00 1000.00 | pL 19.984
U 4009 | E 4009 | F 439486 | FPS 3164 | D 139 | rR:μσmM 9.77 98.05 0.00 1000.00 | pL 10.004
U 4010 | E 4010 | F 439612 | FPS 3527 | D 139 | rR:μσmM 8.00 88.73 0.00 1000.00 | pL 13.335
U 4011 | E 4011 | F 439659 | FPS 2524 | D 139 | rR:μσmM 21.40 144.29 0.00 1000.00 | pL 10.015
U 4012 | E 4012 | F 439791 | FPS 3446 | D 139 | rR:μσmM 7.61 86.71 0.00 1000.00 | pL 16.666
U 4013 | E 4013 | F 439892 | FPS 3358 | D 139 | rR:μσmM 9.96 99.00 0.00 1000.00 | pL 16.660
U 4014 | E 4014 | F 440003 | FPS 3250 | D 139 | rR:μσmM 9.06 94.48 0.00 1000.00 | pL 16.654
U 4015 | E 4015 | F 440128 | FPS 3463 | D 140 | rR:μσmM 8.05 89.08 0.00 1000.00 | pL 13.337
U 4016 | E 4016 | F 440265 | FPS 3556 | D 140 | rR:μσmM 7.34 85.12 0.00 1000.00 | pL 6.697
U 4017 | E 4017 | F 440331 | FPS 2806 | D 140 | rR:μσmM 15.24 122.14 0.00 1000.00 | pL 13.331
U 4018 | E 4018 | F 440385 | FPS 2539 | D 140 | rR:μσmM 18.59 134.81 0.00 1000.00 | pL 10.010
U 4019 | E 4019 | F 440488 | FPS 3342 | D 140 | rR:μσmM 9.77 98.05 0.00 1000.00 | pL 3.371
U 4020 | E 4020 | F 440628 | FPS 3565 | D 140 | rR:μσmM 7.17 84.21 0.00 1000.00 | pL 13.443
U 4021 | E 4021 | F 440706 | FPS 2882 | D 140 | rR:μσmM 12.90 112.49 0.00 1000.00 | pL 20.096
U 4022 | E 4022 | F 440780 | FPS 2948 | D 140 | rR:μσmM 13.59 115.45 0.00 1000.00 | pL 10.119
U 4023 | E 4023 | F 440854 | FPS 3161 | D 140 | rR:μσmM 13.59 115.45 0.00 1000.00 | pL 0.136
U 4024 | E 4024 | F 440933 | FPS 3198 | D 140 | rR:μσmM 12.73 111.79 0.00 1000.00 | pL 10.052
U 4025 | E 4025 | F 440971 | FPS 2397 | D 140 | rR:μσmM 26.42 160.06 0.00 1000.00 | pL 6.720
U 4026 | E 4026 | F 441139 | FPS 3451 | D 140 | rR:μσmM 6.00 76.92 0.00 1000.00 | pL 10.048
U 4027 | E 4027 | F 441257 | FPS 3373 | D 140 | rR:μσmM 8.53 91.66 0.00 1000.00 | pL 6.710
U 4028 | E 4028 | F 441304 | FPS 2429 | D 140 | rR:μσmM 21.36 144.29 0.00 1000.00 | pL 13.349
U 4029 | E 4029 | F 441387 | FPS 2975 | D 140 | rR:μσmM 12.12 109.09 0.00 1000.00 | pL 10.031
U 4030 | E 4030 | F 441435 | FPS 2604 | D 140 | rR:μσmM 20.96 142.81 0.00 1000.00 | pL 19.988
U 4031 | E 4031 | F 441540 | FPS 3149 | D 140 | rR:μσmM 9.60 97.12 0.00 1000.00 | pL 13.360
U 4032 | E 4032 | F 441611 | FPS 2485 | D 140 | rR:μσmM 14.17 117.83 0.00 1000.00 | pL 16.660
U 4033 | E 4033 | F 441677 | FPS 2319 | D 140 | rR:μσmM 15.24 122.14 0.00 1000.00 | pL 16.665
U 4034 | E 4034 | F 441819 | FPS 2907 | D 140 | rR:μσmM 7.08 83.62 0.00 1000.00 | pL 6.707
U 4035 | E 4035 | F 441907 | FPS 3384 | D 140 | rR:μσmM 11.43 105.99 0.00 1000.00 | pL 3.396
U 4036 | E 4036 | F 441981 | FPS 3037 | D 140 | rR:μσmM 13.59 115.45 0.00 1000.00 | pL 10.016
U 4037 | E 4037 | F 442076 | FPS 3254 | D 140 | rR:μσmM 10.59 102.05 0.00 1000.00 | pL 16.681
U 4038 | E 4038 | F 442265 | FPS 3702 | D 140 | rR:μσmM 5.33 72.54 0.00 1000.00 | pL 19.989
U 4039 | E 4039 | F 442367 | FPS 3289 | D 140 | rR:μσmM 9.90 98.52 0.00 1000.00 | pL 3.388
U 4040 | E 4040 | F 442429 | FPS 2772 | D 140 | rR:μσmM 16.19 125.96 0.00 1000.00 | pL 20.130
U 4041 | E 4041 | F 442529 | FPS 3372 | D 140 | rR:μσmM 10.08 99.49 0.00 1000.00 | pL 16.767
U 4042 | E 4042 | F 442600 | FPS 2949 | D 140 | rR:μσmM 14.17 117.83 0.00 1000.00 | pL 13.472
U 4043 | E 4043 | F 442697 | FPS 3167 | D 140 | rR:μσmM 10.37 101.00 0.00 1000.00 | pL 6.782
U 4044 | E 4044 | F 442916 | FPS 3987 | D 140 | rR:μσmM 4.61 67.42 0.00 1000.00 | pL 10.113
U 4045 | E 4045 | F 443024 | FPS 3280 | D 140 | rR:μσmM 9.33 95.77 0.00 1000.00 | pL 3.533
U 4046 | E 4046 | F 443112 | FPS 3093 | D 140 | rR:μσmM 11.43 105.99 0.00 1000.00 | pL 6.765
U 4047 | E 4047 | F 443157 | FPS 2312 | D 140 | rR:μσmM 22.40 147.38 0.00 1000.00 | pL 6.927
U 4048 | E 4048 | F 443282 | FPS 3333 | D 141 | rR:μσmM 8.10 89.08 0.00 1000.00 | pL 13.427
U 4049 | E 4049 | F 443347 | FPS 2933 | D 141 | rR:μσmM 15.48 123.07 0.00 1000.00 | pL 13.432
U 4050 | E 4050 | F 443372 | FPS 1832 | D 141 | rR:μσmM 40.16 195.93 0.00 1000.00 | pL 13.386
U 4051 | E 4051 | F 443449 | FPS 3001 | D 141 | rR:μσmM 13.09 113.21 0.00 1000.00 | pL 10.090
U 4052 | E 4052 | F 443556 | FPS 3393 | D 141 | rR:μσmM 9.40 96.22 0.00 1000.00 | pL 13.439
U 4053 | E 4053 | F 443609 | FPS 2696 | D 141 | rR:μσmM 18.94 136.05 0.00 1000.00 | pL 6.861
U 4054 | E 4054 | F 443691 | FPS 2992 | D 141 | rR:μσmM 12.27 109.75 0.00 1000.00 | pL 10.080
U 4055 | E 4055 | F 443781 | FPS 3247 | D 141 | rR:μσmM 11.18 104.82 0.00 1000.00 | pL 3.425
U 4056 | E 4056 | F 443842 | FPS 2887 | D 141 | rR:μσmM 16.46 126.98 0.00 1000.00 | pL 13.390
U 4057 | E 4057 | F 443880 | FPS 2262 | D 141 | rR:μσmM 26.47 160.05 0.00 1000.00 | pL 16.698
U 4058 | E 4058 | F 443938 | FPS 2843 | D 141 | rR:μσmM 17.31 130.16 0.00 1000.00 | pL 13.352
U 4059 | E 4059 | F 444023 | FPS 2955 | D 141 | rR:μσmM 11.84 107.82 0.00 1000.00 | pL 20.013
U 4060 | E 4060 | F 444082 | FPS 2994 | D 141 | rR:μσmM 17.02 129.07 0.00 1000.00 | pL 20.108
U 4061 | E 4061 | F 444191 | FPS 3442 | D 141 | rR:μσmM 9.25 95.34 0.00 1000.00 | pL 10.095
U 4062 | E 4062 | F 444274 | FPS 2890 | D 141 | rR:μσmM 12.12 109.09 0.00 1000.00 | pL 16.698
U 4063 | E 4063 | F 444372 | FPS 3167 | D 141 | rR:μσmM 10.27 100.49 0.00 1000.00 | pL 16.702
U 4064 | E 4064 | F 444491 | FPS 3493 | D 141 | rR:μσmM 8.45 91.28 0.00 1000.00 | pL 13.365
U 4065 | E 4065 | F 444527 | FPS 2206 | D 141 | rR:μσmM 27.89 164.32 0.00 1000.00 | pL 10.043
U 4066 | E 4066 | F 444601 | FPS 2855 | D 141 | rR:μσmM 13.59 115.45 0.00 1000.00 | pL 26.657
U 4067 | E 4067 | F 444663 | FPS 2562 | D 141 | rR:μσmM 16.23 125.96 0.00 1000.00 | pL 13.363
U 4068 | E 4068 | F 444779 | FPS 3488 | D 141 | rR:μσmM 8.69 92.44 0.00 1000.00 | pL 6.698
U 4069 | E 4069 | F 444883 | FPS 3311 | D 141 | rR:μσmM 9.67 97.58 0.00 1000.00 | pL 13.366
U 4070 | E 4070 | F 444922 | FPS 2326 | D 141 | rR:μσmM 25.79 158.04 0.00 1000.00 | pL 6.689
U 4071 | E 4071 | F 445025 | FPS 3162 | D 141 | rR:μσmM 9.81 98.04 0.00 1000.00 | pL 13.356
U 4072 | E 4072 | F 445185 | FPS 3598 | D 141 | rR:μσmM 6.29 78.81 0.00 1000.00 | pL 16.668
U 4073 | E 4073 | F 445249 | FPS 2710 | D 141 | rR:μσmM 15.72 124.01 0.00 1000.00 | pL 13.328
U 4074 | E 4074 | F 445403 | FPS 3423 | D 141 | rR:μσmM 6.55 80.32 0.00 1000.00 | pL 10.029
U 4075 | E 4075 | F 445490 | FPS 3119 | D 141 | rR:μσmM 11.59 106.58 0.00 1000.00 | pL 3.370
U 4076 | E 4076 | F 445624 | FPS 3629 | D 141 | rR:μσmM 7.51 86.06 0.00 1000.00 | pL 13.346
